symbol,name,sector
RELIANCE,Reliance Industries,Energy
TCS,Tata Consultancy Services,Information Technology
HDFCBANK,HDFC Bank,Financial Services
ICICIBANK,ICICI Bank,Financial Services
BHARTIARTL,Bharti Airtel,Telecom
INFY,Infosys,Information Technology
ITC,ITC,Consumer Staples
SBIN,State Bank of India,Financial Services
LT,Larsen and Toubro,Industrials
BAJFINANCE,Bajaj Finance,Financial Services
KOTAKBANK,Kotak Mahindra Bank,Financial Services
AXISBANK,Axis Bank,Financial Services
HINDUNILVR,Hindustan Unilever,Consumer Staples
M&M,Mahindra and Mahindra,Automobile
MARUTI,Maruti Suzuki,Automobile
SUNPHARMA,Sun Pharmaceutical,Healthcare
ASIANPAINT,Asian Paints,Materials
TITAN,Titan Company,Consumer Discretionary
ULTRACEMCO,UltraTech Cement,Materials
TATASTEEL,Tata Steel,Metals
