symbol,name,sector
AARTIIND,Aarti Industries,Materials
ABB,ABB India,Industrials
ABBOTINDIA,Abbott India,Healthcare
ABCAPITAL,Aditya Birla Capital,Financial Services
ABFRL,Aditya Birla Fashion,Consumer Discretionary
ACC,ACC,Materials
ADANIENT,Adani Enterprises,Industrials
ADANIPORTS,Adani Ports,Industrials
ALKEM,Alkem Laboratories,Healthcare
AMBUJACEM,Ambuja Cements,Materials
APOLLOHOSP,Apollo Hospitals,Healthcare
APOLLOTYRE,Apollo Tyres,Automobile
ASHOKLEY,Ashok Leyland,Automobile
ASIANPAINT,Asian Paints,Materials
ASTRAL,Astral,Materials
ATUL,Atul,Materials
AUBANK,AU Small Finance Bank,Financial Services
AUROPHARMA,Aurobindo Pharma,Healthcare
AXISBANK,Axis Bank,Financial Services
BAJAJ-AUTO,Bajaj Auto,Automobile
BAJAJFINSV,Bajaj Finserv,Financial Services
BAJFINANCE,Bajaj Finance,Financial Services
BALKRISIND,Balkrishna Industries,Automobile
BALRAMCHIN,Balrampur Chini,Consumer Staples
BANDHANBNK,Bandhan Bank,Financial Services
BANKBARODA,Bank of Baroda,Financial Services
BATAINDIA,Bata India,Consumer Discretionary
BEL,Bharat Electronics,Industrials
BERGEPAINT,Berger Paints,Materials
BHARATFORG,Bharat Forge,Industrials
BHARTIARTL,Bharti Airtel,Telecom
BHEL,Bharat Heavy Electricals,Industrials
BIOCON,Biocon,Healthcare
BOSCHLTD,Bosch,Automobile
BPCL,Bharat Petroleum,Energy
BRITANNIA,Britannia Industries,Consumer Staples
BSOFT,Birlasoft,Information Technology
CANBK,Canara Bank,Financial Services
CANFINHOME,Can Fin Homes,Financial Services
CHAMBLFERT,Chambal Fertilisers,Materials
CHOLAFIN,Cholamandalam Investment,Financial Services
CIPLA,Cipla,Healthcare
COALINDIA,Coal India,Energy
COFORGE,Coforge,Information Technology
COLPAL,Colgate-Palmolive,Consumer Staples
CONCOR,Container Corporation,Industrials
COROMANDEL,Coromandel International,Materials
CROMPTON,Crompton Greaves Consumer,Consumer Discretionary
CUB,City Union Bank,Financial Services
CUMMINSIND,Cummins India,Industrials
DABUR,Dabur India,Consumer Staples
DALBHARAT,Dalmia Bharat,Materials
DEEPAKNTR,Deepak Nitrite,Materials
DIVISLAB,Divi's Laboratories,Healthcare
DIXON,Dixon Technologies,Consumer Discretionary
DLF,DLF,Real Estate
DRREDDY,Dr Reddy's Laboratories,Healthcare
EICHERMOT,Eicher Motors,Automobile
ESCORTS,Escorts Kubota,Automobile
EXIDEIND,Exide Industries,Automobile
FEDERALBNK,Federal Bank,Financial Services
GAIL,GAIL India,Energy
GLENMARK,Glenmark Pharmaceuticals,Healthcare
GMRINFRA,GMR Airports,Industrials
GNFC,Gujarat Narmada Valley,Materials
GODREJCP,Godrej Consumer Products,Consumer Staples
GODREJPROP,Godrej Properties,Real Estate
GRANULES,Granules India,Healthcare
GRASIM,Grasim Industries,Materials
GUJGASLTD,Gujarat Gas,Utilities
HAL,Hindustan Aeronautics,Industrials
HAVELLS,Havells India,Industrials
HCLTECH,HCL Technologies,Information Technology
HDFCAMC,HDFC Asset Management,Financial Services
HDFCBANK,HDFC Bank,Financial Services
HDFCLIFE,HDFC Life Insurance,Financial Services
HEROMOTOCO,Hero MotoCorp,Automobile
HINDALCO,Hindalco Industries,Metals
HINDCOPPER,Hindustan Copper,Metals
HINDPETRO,Hindustan Petroleum,Energy
HINDUNILVR,Hindustan Unilever,Consumer Staples
ICICIBANK,ICICI Bank,Financial Services
ICICIGI,ICICI Lombard,Financial Services
ICICIPRULI,ICICI Prudential Life,Financial Services
IDEA,Vodafone Idea,Telecom
IDFCFIRSTB,IDFC First Bank,Financial Services
IEX,Indian Energy Exchange,Financial Services
IGL,Indraprastha Gas,Utilities
INDHOTEL,Indian Hotels,Consumer Discretionary
INDIACEM,India Cements,Materials
INDIAMART,IndiaMART,Information Technology
INDIGO,InterGlobe Aviation,Consumer Discretionary
INDUSINDBK,IndusInd Bank,Financial Services
INDUSTOWER,Indus Towers,Telecom
INFY,Infosys,Information Technology
IOC,Indian Oil Corporation,Energy
IPCALAB,IPCA Laboratories,Healthcare
IRCTC,IRCTC,Consumer Discretionary
ITC,ITC,Consumer Staples
JINDALSTEL,Jindal Steel and Power,Metals
JKCEMENT,JK Cement,Materials
JSWSTEEL,JSW Steel,Metals
JUBLFOOD,Jubilant FoodWorks,Consumer Discretionary
KOTAKBANK,Kotak Mahindra Bank,Financial Services
LALPATHLAB,Dr. Lal PathLabs,Healthcare
LAURUSLABS,Laurus Labs,Healthcare
LICHSGFIN,LIC Housing Finance,Financial Services
LT,Larsen and Toubro,Industrials
LTIM,LTIMindtree,Information Technology
LTTS,L&T Technology Services,Information Technology
LUPIN,Lupin,Healthcare
M&M,Mahindra and Mahindra,Automobile
M&MFIN,Mahindra and Mahindra Financial,Financial Services
MANAPPURAM,Manappuram Finance,Financial Services
MARICO,Marico,Consumer Staples
MARUTI,Maruti Suzuki,Automobile
MCX,Multi Commodity Exchange,Financial Services
METROPOLIS,Metropolis Healthcare,Healthcare
MFSL,Max Financial Services,Financial Services
MGL,Mahanagar Gas,Utilities
MOTHERSON,Samvardhana Motherson,Automobile
MPHASIS,Mphasis,Information Technology
MRF,MRF,Automobile
MUTHOOTFIN,Muthoot Finance,Financial Services
NATIONALUM,National Aluminium,Metals
NAUKRI,Info Edge,Internet
NAVINFLUOR,Navin Fluorine,Materials
